Name,Age,Nationality,Club
L. Messi,31,Argentina,FC Barcelona
Cristiano Ronaldo,33,Portugal,Juventus
Neymar Jr,26,Brazil,Paris Saint-Germain
De Gea,27,Spain,Manchester United
K. De Bruyne,27,Belgium,Manchester City
E. Hazard,27,Belgium,Chelsea
L. Modrić,32,Croatia,Real Madrid
L. Suárez,31,Uruguay,FC Barcelona
Sergio Ramos,32,Spain,Real Madrid
J. Oblak,25,Slovenia,Atlético Madrid
R. Lewandowski,29,Poland,FC Bayern München
T. Kroos,28,Germany,Real Madrid
D. Godín,32,Uruguay,Atlético Madrid
David Silva,32,Spain,Manchester City
N. Kanté,27,France,Chelsea
P. Dybala,24,Argentina,Juventus
H. Kane,24,England,Tottenham Hotspur
A. Griezmann,27,France,Atlético Madrid
M. ter Stegen,26,Germany,FC Barcelona
T. Courtois,26,Belgium,Real Madrid
Sergio Busquets,29,Spain,FC Barcelona
E. Cavani,31,Uruguay,Paris Saint-Germain
M. Neuer,32,Germany,FC Bayern München
S. Agüero,30,Argentina,Manchester City
G. Chiellini,33,Italy,Juventus
K. Mbappé,19,France,Paris Saint-Germain
M. Salah,26,Egypt,Liverpool
Casemiro,26,Brazil,Real Madrid
J. Rodríguez,26,Colombia,FC Bayern München
L. Insigne,27,Italy,Napoli
Isco,26,Spain,Real Madrid
C. Eriksen,26,Denmark,Tottenham Hotspur
Coutinho,26,Brazil,FC Barcelona
P. Aubameyang,29,Gabon,Arsenal
M. Hummels,29,Germany,FC Bayern München
Marcelo,30,Brazil,Real Madrid
G. Bale,28,Wales,Real Madrid
H. Lloris,31,France,Tottenham Hotspur
G. Higuaín,30,Argentina,Milan
Thiago Silva,33,Brazil,Paris Saint-Germain
S. Handanovič,33,Slovenia,Inter
G. Buffon,40,Italy,Paris Saint-Germain
S. Umtiti,24,France,FC Barcelona
M. Icardi,25,Argentina,Inter
K. Koulibaly,27,Senegal,Napoli
P. Pogba,25,France,Manchester United
K. Navas,31,Costa Rica,Real Madrid
R. Lukaku,25,Belgium,Manchester United
C. Immobile,28,Italy,Lazio
Jordi Alba,29,Spain,FC Barcelona
D. Mertens,31,Belgium,Napoli
J. Vertonghen,31,Belgium,Tottenham Hotspur
M. Hamšík,30,Slovakia,Napoli
I. Rakitić,30,Croatia,FC Barcelona
Piqué,31,Spain,FC Barcelona
L. Sané,22,Germany,Manchester City
Bernardo Silva,23,Portugal,Manchester City
Ederson,24,Brazil,Manchester City
S. Mané,26,Senegal,Liverpool
V. van Dijk,26,Netherlands,Liverpool
R. Sterling,23,England,Manchester City
Roberto Firmino,26,Brazil,Liverpool
R. Varane,25,France,Real Madrid
M. Verratti,25,Italy,Paris Saint-Germain
Alex Sandro,27,Brazil,Juventus
Douglas Costa,27,Brazil,Juventus
T. Müller,28,Germany,FC Bayern München
Thiago,27,Spain,FC Bayern München
M. Reus,29,Germany,Borussia Dortmund
Azpilicueta,28,Spain,Chelsea
L. Bonucci,31,Italy,Juventus
T. Alderweireld,29,Belgium,Tottenham Hotspur
M. Pjanić,28,Bosnia Herzegovina,Juventus
M. Benatia,31,Morocco,Juventus
M. Özil,29,Germany,Arsenal
Fernandinho,33,Brazil,Manchester City
Iniesta,34,Spain,Vissel Kobe
M. Škriniar,23,Slovakia,Inter
S. Milinković-Savić,23,Serbia,Lazio
Marco Asensio,22,Spain,Real Madrid
N. Fekir,24,France,Olympique Lyonnais
Alisson,25,Brazil,Liverpool
J. Kimmich,23,Germany,FC Bayern München
Saúl,23,Spain,Atlético Madrid
R. Mahrez,27,Algeria,Manchester City
D. Alaba,26,Austria,FC Bayern München
Koke,26,Spain,Atlético Madrid
A. Lacazette,27,France,Arsenal
K. Manolas,27,Greece,Roma
N. Otamendi,30,Argentina,Manchester City
Parejo,29,Spain,Valencia CF
Paulinho,29,Brazil,Guangzhou Evergrande Taobao FC
W. Szczęsny,28,Poland,Juventus
A. Sánchez,29,Chile,Manchester United
Y. Brahimi,28,Algeria,FC Porto
J. Boateng,29,Germany,FC Bayern München
A. Vidal,31,Chile,FC Barcelona
I. Perišić,29,Croatia,Inter
E. Džeko,32,Bosnia Herzegovina,Roma
S. Khedira,31,Germany,Juventus
Diego Costa,29,Spain,Atlético Madrid
R. Nainggolan,30,Belgium,Inter
Naldo,35,Brazil,FC Schalke 04
B. Matuidi,31,France,Juventus
Miranda,33,Brazil,Inter
K. Benzema,30,France,Real Madrid
Filipe Luís,32,Brazil,Atlético Madrid
V. Kompany,32,Belgium,Manchester City
Pepe,35,Portugal,Beşiktaş JK
Z. Ibrahimović,36,Sweden,LA Galaxy
D. Sánchez,22,Colombia,Tottenham Hotspur
J. Giménez,23,Uruguay,Atlético Madrid
Alex Telles,25,Brazil,FC Porto
A. Laporte,24,France,Manchester City
Bruno Fernandes,23,Portugal,Sporting CP
N. Süle,22,Germany,FC Bayern München
A. Martial,22,France,Manchester United
D. Alli,22,England,Tottenham Hotspur
Fabinho,24,Brazil,Liverpool
Marquinhos,24,Brazil,Paris Saint-Germain
William Carvalho,26,Portugal,Real Betis
Jorginho,26,Italy,Chelsea
F. Thauvin,25,France,Olympique de Marseille
Carvajal,26,Spain,Real Madrid
M. Depay,24,Netherlands,Olympique Lyonnais
H. Son,25,Korea Republic,Tottenham Hotspur
A. Lopes,27,Portugal,Olympique Lyonnais
S. de Vrij,26,Netherlands,Inter
M. Perin,25,Italy,Juventus
J. Cuadrado,30,Colombia,Juventus
Iago Aspas,30,Spain,RC Celta
B. Leno,26,Germany,Arsenal
N. Matić,29,Serbia,Manchester United
L. Hrádecký,28,Finland,Bayer 04 Leverkusen
Illarramendi,28,Spain,Real Sociedad
K. Walker,28,England,Manchester City
I. Gündoğan,27,Germany,Manchester City
José Callejón,31,Spain,Napoli
A. Di María,30,Argentina,Paris Saint-Germain
M. Mandžukić,32,Croatia,Juventus
Willian,29,Brazil,Chelsea
Sergio Asenjo,29,Spain,Villarreal CF
E. Banega,30,Argentina,Sevilla FC
A. Witsel,29,Belgium,Borussia Dortmund
D. Payet,31,France,Olympique de Marseille
Jonas,34,Brazil,SL Benfica
Sokratis,30,Greece,Arsenal
S. Ruffier,31,France,AS Saint-Étienne
Falcao,32,Colombia,AS Monaco
K. Schmeichel,31,Denmark,Leicester City
Raúl Albiol,32,Spain,Napoli
A. Gómez,30,Argentina,Atalanta
A. Barzagli,37,Italy,Juventus
Quaresma,34,Portugal,Beşiktaş JK
A. Robben,34,Netherlands,FC Bayern München
O. Dembélé,21,France,FC Barcelona
Gabriel Jesus,21,Brazil,Manchester City
Ronaldo Cabrais,26,Brazil,Grêmio
Josué Chiamulera,26,Brazil,Grêmio
Louri Beretta,26,Brazil,Atlético Mineiro
P. Kimpembe,22,France,Paris Saint-Germain
N. Keïta,23,Guinea,Liverpool
C. Tolisso,23,France,FC Bayern München
T. Lemar,22,France,Atlético Madrid
K. Coman,22,France,FC Bayern München
J. Tah,22,Germany,Bayer 04 Leverkusen
Anderson Talisca,24,Brazil,Guangzhou Evergrande Taobao FC
T. Werner,22,Germany,RB Leipzig
A. Rabiot,23,France,Paris Saint-Germain
L. Goretzka,23,Germany,FC Bayern München
Q. Promes,26,Netherlands,Sevilla FC
H. Ziyech,25,Morocco,Ajax
Lucas Vázquez,27,Spain,Real Madrid
Y. Carrasco,24,Belgium,Dalian YiFang FC
Gerard Moreno,26,Spain,Villarreal CF
Felipe,29,Brazil,FC Porto
M. Kovačić,24,Croatia,Chelsea
Kepa,23,Spain,Chelsea
Manu Trigueros,26,Spain,Villarreal CF
